id,state,start_date,end_date,race_type,special,primary_type,primary_note,prez,senate,house,gov,state_officers,state_leg,portal_link,direct_links,county_level,county_level_status,precinct_level,precinct_level_status,cong_dist_level,cong_dist_level_status,state_leg_level,state_leg_level_status,state_level,state_level_status,result_type,absentee_and_provisional,user_fullname
1822,WI,2017-12-19,2017-12-19,primary,True,open,,False,False,False,False,False,True,http://elections.wi.gov/elections-voting/results/2018/senate-district-10-special-primary,"http://elections.wi.gov/files/Excel%20Ward%20Results%20Report-Senate%2010%20special%20primary.xlsx, 
http://elections.wi.gov/files/Excel%20Ward%20by%20Ward%20Report-Assembly%2066%20Special%20Primary.xlsx, 
http://elections.wi.gov/files/Excel%20Ward%20by%20Ward%20Report-Assembly%2058%20Special%20Primary.xlsx",False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
1761,WI,2017-04-04,2017-04-04,general,False,,,False,False,False,False,True,False,http://elections.wi.gov/elections-voting/results/2017/spring-election,"http://elections.wi.gov/files/2017%20Spring%20Election-State%20Superintendent-Ward%20Report.xlsx, 
http://elections.wi.gov/files/2017%20Spring%20Election-Supreme%20Court-Ward%20Report.xlsx, 
http://elections.wi.gov/files/2017%20Spring%20Election-Court%20of%20Appeals-Ward%20Report.xlsx, 
http://elections.wi.gov/files/2017%20Spring%20Election-Circuit%20Court-Ward%20Report.xlsx",False,,True,yes,False,,False,,True,yes,certified,False,"Davies, Nick"
1755,WI,2017-02-21,2017-02-21,primary,False,other,Non-partisan,False,False,False,False,True,False,http://elections.wi.gov/elections-voting/results/2017/spring-primary,"http://elections.wi.gov/files/2017%20Spring%20Primary%20Results-Superintendent-Ward%20by%20Ward%20Report.xlsx, 
http://elections.wi.gov/files/2017%20Spring%20Primary%20Results-Circuit%20Court-Ward%20by%20Ward%20Report.xlsx",False,,True,yes,False,,False,,True,yes,certified,False,"Davies, Nick"
1748,WI,2016-11-08,2016-11-08,general,False,,,True,True,True,False,False,True,http://elections.wi.gov/elections-voting/results/2016/fall-general,"https://elections.wi.gov/files/Ward%20by%20Ward%20Recount%20%20Canvass%20Results-%20President.xlsx, 
http://elections.wi.gov/files/Ward%20by%20Ward%20Report%20-US%20Senator.xlsx, 
http://elections.wi.gov/files/Ward%20by%20Ward%20Report%20-Congress.xlsx, 
http://elections.wi.gov/files/Ward%20by%20Ward%20Report-State%20Senate.xlsx, 
http://elections.wi.gov/files/Ward%20by%20Ward%20Report-Assembly.xlsx",True,yes,True,yes,False,Unavailable,False,Unavailable,True,yes,certified,True,"Davies, Nick"
1711,WI,2016-08-09,2016-08-09,primary,False,closed,,False,True,True,False,False,True,http://elections.wi.gov/elections-voting/results/2016/partisan-primary,"http://elections.wi.gov/files/Ward%20by%20Ward%20Report%20-%20District%20Attorney.xlsx, 
http://elections.wi.gov/files/Ward%20by%20Ward%20Report-Assembly_0.xlsx, 
http://elections.wi.gov/files/Ward%20by%20Ward%20Report%20-%20State%20Senator.xlsx, 
http://elections.wi.gov/files/Ward%20by%20Ward%20Report%20-%20U.S.%20Congress.xlsx, 
http://elections.wi.gov/files/Ward%20by%20Ward%20Report%20-%20US%20Senate.xlsx",True,yes,True,yes,False,Unavailable,False,Unavailable,True,yes,certified,False,"Davies, Nick"
1865,WI,2016-04-05,2016-04-05,general,False,,,False,False,False,False,True,False,http://elections.wi.gov/elections-voting/results/2016/spring-election-presidential-preference,"http://elections.wi.gov/files/Ward%20by%20Ward%20Report-Court%20of%20Appeals.xlsx, 
http://elections.wi.gov/files/Ward%20by%20Ward%20Report-circuit%20court.xlsx, 
http://elections.wi.gov/files/Supreme%20Court%20Ward%20by%20Ward%20AMENDED%20Report-Brown%20Co.xlsx",False,,True,,False,,False,,False,,certified,False,"Davies, Nick"
1710,WI,2016-04-05,2016-04-05,primary,False,closed,,True,False,False,False,False,False,http://elections.wi.gov/elections-voting/results/2016/spring-election-presidential-preference,http://elections.wi.gov/files/Ward%20by%20Ward%20Report-President.xlsx,True,yes,True,yes,True,yes,False,Unavailable,True,yes,certified,False,"Davies, Nick"
1823,WI,2016-02-16,2016-02-16,primary,False,other,Primary for non-partisan offices; candidates are officially non-partisan,False,False,False,False,True,False,http://elections.wi.gov/elections-voting/results/2016/spring-primary,"http://elections.wi.gov/files/2016%20Spring%20Primary-Supreme%20Court-Ward%20by%20Ward%20Report.xlsx, 
http://elections.wi.gov/files/2016%20Spring%20Primary-Circuit%20Court-Ward%20by%20Ward%20Report.xlsx",False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
1658,WI,2015-09-29,2015-09-29,general,True,,,False,False,False,False,False,True,http://elections.wi.gov/elections-voting/results/2015/assembly-district-99-special-election,https://elections.wi.gov/files/Copy%20of%20Ward%20by%20Ward%20Report%20%281%29.xlsx,True,yes,True,yes,False,Unavailable,False,Unavailable,True,yes,certified,False,"Post, Davi"
1659,WI,2015-09-01,2015-09-01,primary,True,closed,,False,False,False,False,False,True,http://www.elections.wi.gov/elections-voting/results/2015/assembly-district-99-special-primary,https://elections.wi.gov/files/Copy%20of%20Ward%20by%20Ward%20Report.xlsx,True,yes,True,yes,False,Unavailable,False,Unavailable,True,yes,certified,False,"Post, Davi"
1660,WI,2015-07-21,2015-07-21,general,True,,,False,False,False,False,False,True,https://elections.wi.gov/elections-voting/results/2015/senate-district-33-special-election,https://elections.wi.gov/files/Ward%20by%20Ward%20Report_0.xlsx,False,yes,False,yes,False,Unavailable,False,Unavailable,False,yes,certified,False,
1661,WI,2015-06-23,2015-06-23,primary,True,closed,,False,False,False,False,False,True,https://elections.wi.gov/elections-voting/results/2015/senate-district-33-special-election-primary,https://elections.wi.gov/files/Ward%20by%20Ward%20Report.xlsx,True,yes,True,yes,False,Unavailable,False,Unavailable,True,yes,certified,False,
1576,WI,2015-04-07,2015-04-07,general,True,,,False,False,False,False,False,True,https://elections.wi.gov/elections-voting/results/2015/special/senate-20,https://elections.wi.gov/files/Ward%20Results%20Report-4.7.15-Special%20Election%20Senate%2020.xlsx,True,yes,True,yes,False,Unavailable,False,Unavailable,True,yes,certified,True,
1824,WI,2015-04-07,2015-04-07,general,False,,,False,False,False,False,True,False,http://elections.wi.gov/elections-voting/results/2015/spring-election,http://elections.wi.gov/files/Ward%20Results%204.7.15%20Spring%20Election.xlsx,False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
1573,WI,2015-02-17,2015-02-17,primary,True,closed,,False,False,False,False,False,True,https://elections.wi.gov/elections-voting/results/2015/spring-primary,https://elections.wi.gov/files/Spring%20Primary%202.17.15%20Results%20by%20Ward%20Report.xlsx,True,yes,True,yes,False,Unavailable,False,Unavailable,True,yes,certified,False,"Willis, Derek"
1574,WI,2014-11-04,2014-11-04,general,False,,,False,False,True,True,True,True,https://elections.wi.gov/elections-voting/results/2014/fall-general,https://elections.wi.gov/files/11.4.2014%20Election%20Results%20-%20all%20offices%20w%20x%20w%20report.xlsx,True,yes,True,yes,False,unknown,False,unknown,True,yes,certified,True,
1575,WI,2014-08-12,2014-08-12,primary,False,closed,,False,False,True,True,True,True,https://elections.wi.gov/elections-voting/results/2014/partisan-primary,"https://elections.wi.gov/files/Statewide%20Offices%20-%20Ward%20by%20Ward%20Results%20%288.12.14%29.xls, 
https://elections.wi.gov/files/Representative%20in%20Congress%20-%20Ward%20by%20Ward%20Results%20%288.12.14%29.xls, 
https://elections.wi.gov/files/State%20Senator%20-%20Ward%20by%20Ward%20Results%20%288.12.14%29.xls, 
https://elections.wi.gov/files/Representative%20to%20the%20Assembly%20-%20Ward%20by%20Ward%20Results%20%288.12.14%29.xls",True,yes,True,yes,False,Unavailable,False,Unavailable,True,yes,certified,True,
1825,WI,2014-04-01,2014-04-01,general,False,,,False,False,False,False,True,False,http://elections.wi.gov/elections-voting/results/2014/spring-election,"http://elections.wi.gov/files/Results%20by%20Ward%20Report.%204-1-14%20Spring%20Election-Appeals.xls, 
http://elections.wi.gov/files/Results%20by%20Ward%20Report.4.1.14%20Spring%20Election%20-%20Circuit%20Court.xls",False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
1826,WI,2014-02-18,2014-02-18,primary,False,other,Non-partisan primary,False,False,False,False,True,False,http://elections.wi.gov/elections-voting/results/2014/spring-primary,http://elections.wi.gov/files/Results%20Report%20by%20Ward-Spring%20Primary%202014.xls,False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
1538,WI,2013-12-17,2013-12-17,general,True,,,False,False,False,False,False,True,https://elections.wi.gov/elections-voting/results/2013/special/assembly-82,https://elections.wi.gov/files/Ward%20Results%2012.17.13%20Special%20Election.Assembly%20Dist.%2082.xls,False,yes,True,yes,False,Unavailable,False,Unavailable,True,yes,certified,False,
1827,WI,2013-11-19,2013-11-19,general,True,,,False,False,False,False,False,True,http://elections.wi.gov/elections-voting/results/2013/special/assembly-21-69-election,"http://elections.wi.gov/files/Ward%20Results-11.19.13%20Special%20Election-Assm%2069.xls, 
http://elections.wi.gov/files/Ward%20Results-11.19.13%20Election-Assm%2021.xls",False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
1539,WI,2013-11-19,2013-11-19,primary,True,closed,,False,False,False,False,False,True,https://elections.wi.gov/elections-voting/results/2013/special/assembly-82-primary,https://elections.wi.gov/files/Ward%20Results-11.19.13%20Primary-Assm%2082.xls,False,yes,True,yes,False,Unavailable,False,Unavailable,True,yes,certified,False,"Davies, Nick"
1828,WI,2013-10-22,2013-10-22,primary,True,open,,False,False,False,False,False,True,http://elections.wi.gov/elections-voting/results/2013/special/assembly-21-69-primary,"http://elections.wi.gov/files/Ward%20by%20Ward%20Results-10.22.13%20Assm%2021%20special%20primary.xls, 
http://elections.wi.gov/files/Ward%20by%20Ward%20Results-10.22.13%20Assm%2069%20special%20primary.xls",False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
404,WI,2013-04-02,2013-04-02,general,False,,,False,False,False,False,True,False,http://elections.wi.gov/elections-voting/results/2013/spring-election,"http://elections.wi.gov/files/Ward%20Results_4.2.13%20Spring%20Election_Circuit%20Court%20Judge.xls, 
http://elections.wi.gov/files/Ward%20Results_4.2.13%20Spring%20Election_Court%20of%20Appeals.xls, 
http://elections.wi.gov/files/Ward%20Results_4.2.13%20Spring%20Election_Supreme%20Court%20Justice.xls, 
http://elections.wi.gov/files/Ward%20Results_4.2.13%20Spring%20Election_Supt%20Public%20Inst.xls",True,,True,,False,,False,,False,,certified,False,"Post, Davi"
405,WI,2013-04-02,2013-04-02,general,True,,,False,False,False,False,False,True,https://elections.wi.gov/elections-voting/results/2013/special/assembly-98-election,https://elections.wi.gov/files/result/ward_by_ward_report_4_2_2013_assembly_98_xls_51899.xls,True,,True,,False,,False,,False,,certified,True,"Vestal, Alan James"
1829,WI,2013-02-19,2013-02-19,primary,False,other,Nonpartisan primary,False,False,False,False,True,False,http://elections.wi.gov/elections-voting/results/2013/spring-primary,"http://elections.wi.gov/files/result/2_19_13_supreme_court_results_by_ward_xls_44139.xls, 
http://elections.wi.gov/files/result/2_19_13_circuit_court_primary_results_by_ward_xls_17455.xls",False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
407,WI,2013-02-19,2013-02-19,primary,True,closed,,False,False,False,False,False,True,https://elections.wi.gov/elections-voting/results/2013/special/assembly-98-primary,https://elections.wi.gov/files/result/special_primary_assembly_98_results_by_ward_xls_13754.xls,True,,True,,False,,False,,False,,certified,True,"Vestal, Alan James"
408,WI,2012-12-04,2012-12-04,general,True,,,False,False,False,False,False,True,https://elections.wi.gov/elections-voting/results/2012/senate-district-33-special-election,https://elections.wi.gov/files/ward%20results%20report_12.4.12%20sen%2033%20special%20election.xls,True,,True,,False,,True,,True,,certified,True,"Vestal, Alan James"
409,WI,2012-11-06,2012-11-06,general,False,,,True,True,True,False,False,True,http://elections.wi.gov/elections-voting/results/2012/fall-general,http://elections.wi.gov/files/Ward%20by%20Ward%20Report_1.xlsx,False,,True,,False,,False,,False,,certified,True,"Davies, Nick"
410,WI,2012-11-06,2012-11-06,primary,True,closed,,False,False,False,False,False,True,https://elections.wi.gov/elections-voting/results/2012/senate-district-33-special-election-primary,http://elections.wi.gov/files/Ward%20Results-11.6.12-Sen%2033%20Spec%20Pri.xls,True,,True,,False,,True,,True,,certified,True,"Davies, Nick"
